NAME                           ZONE
a3-megagpu-8g                  us-central1-b
a3-ultragpu-8g                 us-central1-b
a3-ultragpu-8g-nolssd          us-central1-b
a4-highgpu-8g                  us-central1-b
c2-standard-16                 us-central1-b
c2-standard-30                 us-central1-b
c2-standard-4                  us-central1-b
c2-standard-60                 us-central1-b
c2-standard-8                  us-central1-b
c2d-highcpu-112                us-central1-b
c2d-highcpu-16                 us-central1-b
c2d-highcpu-2                  us-central1-b
c2d-highcpu-32                 us-central1-b
c2d-highcpu-4                  us-central1-b
c2d-highcpu-56                 us-central1-b
c2d-highcpu-8                  us-central1-b
c2d-highmem-112                us-central1-b
c2d-highmem-16                 us-central1-b
c2d-highmem-2                  us-central1-b
c2d-highmem-32                 us-central1-b
c2d-highmem-4                  us-central1-b
c2d-highmem-56                 us-central1-b
c2d-highmem-8                  us-central1-b
c2d-standard-112               us-central1-b
c2d-standard-16                us-central1-b
c2d-standard-2                 us-central1-b
c2d-standard-32                us-central1-b
c2d-standard-4                 us-central1-b
c2d-standard-56                us-central1-b
c2d-standard-8                 us-central1-b
c3-highcpu-176                 us-central1-b
c3-highcpu-22                  us-central1-b
c3-highcpu-4                   us-central1-b
c3-highcpu-44                  us-central1-b
c3-highcpu-8                   us-central1-b
c3-highcpu-88                  us-central1-b
c3-highmem-176                 us-central1-b
c3-highmem-22                  us-central1-b
c3-highmem-4                   us-central1-b
c3-highmem-44                  us-central1-b
c3-highmem-8                   us-central1-b
c3-highmem-88                  us-central1-b
c3-standard-176                us-central1-b
c3-standard-176-lssd           us-central1-b
c3-standard-22                 us-central1-b
c3-standard-22-lssd            us-central1-b
c3-standard-4                  us-central1-b
c3-standard-4-lssd             us-central1-b
c3-standard-44                 us-central1-b
c3-standard-44-lssd            us-central1-b
c3-standard-8                  us-central1-b
c3-standard-8-lssd             us-central1-b
c3-standard-88                 us-central1-b
c3-standard-88-lssd            us-central1-b
c3d-highcpu-16                 us-central1-b
c3d-highcpu-180                us-central1-b
c3d-highcpu-30                 us-central1-b
c3d-highcpu-360                us-central1-b
c3d-highcpu-4                  us-central1-b
c3d-highcpu-60                 us-central1-b
c3d-highcpu-8                  us-central1-b
c3d-highcpu-90                 us-central1-b
c3d-highmem-16                 us-central1-b
c3d-highmem-180                us-central1-b
c3d-highmem-30                 us-central1-b
c3d-highmem-360                us-central1-b
c3d-highmem-4                  us-central1-b
c3d-highmem-60                 us-central1-b
c3d-highmem-8                  us-central1-b
c3d-highmem-90                 us-central1-b
c3d-standard-16                us-central1-b
